Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber;id
Plante      ;Sabine    ;female;44;10/8/1979;171;88.3;6520;70 avenue Voltaire           ;MAGAGNOSC           ;470.374.807;25030
Labrie      ;Patrick   ;male  ;80;2/25/1944;173;92.2;78170;46 rue des Soeurs            ;LA CELLE-SAINT-CLOUD;167.440.877;25031
Barrette    ;Davet     ;male  ;59;1/18/1965;182;88.2;13006;51 cours Franklin Roosevelt  ;MARSEILLE           ;495.265.806;25032
Gaudreau    ;Alfred    ;male  ;64;8/27/1959;179;64;28000;45 place Maurice-Charretier  ;CHARTRES            ;271.406.112;25033
Rouze       ;Javier    ;male  ;83;11/30/1940;180;79.7;44700;88 boulevard Amiral Courbet  ;ORVAULT             ;291.283.598;25034
Joly        ;Tanguy    ;male  ;25;4/27/1999;188;99.1;13010;78 cours Franklin Roosevelt  ;MARSEILLE           ;421.075.159;25035
Moreau      ;Pinabel   ;male  ;61;12/20/1962;172;73.7;60000;11 rue Jean Vilar            ;BEAUVAIS            ;348.316.191;25036
Fongemie    ;Aurore    ;female;27;2/3/1997;158;55.5;59640;17 Avenue Millies Lacroix    ;DUNKERQUE           ;383.819.498;25037
Racine      ;Ophelia   ;female;27;9/10/1996;172;96.6;94210;50 rue du Clair Bocage       ;LA VARENNE-SAINT-HIL;151.362.495;25038
Melanson    ;Laurette  ;female;40;8/6/1983;172;78.3;74200;24 rue du Fossé des Tanneurs ;THONON-LES-BAINS    ;426.152.623;25039
Bergeron    ;Auda      ;female;65;8/15/1958;153;50;83600;88 rue Isambard              ;FRÉJUS              ;417.342.769;25040
Lacharité   ;Seymour   ;male  ;64;3/23/1960;179;83;97122;80 Rue Joseph Vernet         ;BAIE-MAHAULT        ;505.639.788;25041
Dubé        ;Melodie   ;female;64;8/16/1959;165;55.4;55000;1 Rue Joseph Vernet          ;BAR-LE-DUC          ;387.667.387;25042
Aupry       ;Holly     ;female;80;1/12/1944;154;105.9;1000;78 rue Petite Fusterie       ;BOURG-EN-BRESSE     ;424.097.291;25043
Bilodeau    ;Talon     ;male  ;79;4/24/1945;178;83.8;80100;15 rue Gontier-Patin         ;ABBEVILLE           ;375.987.992;25044
Brodeur     ;Thiery    ;male  ;57;10/29/1966;172;100.7;44800;39 rue du Château            ;SAINT-HERBLAIN      ;211.078.882;25045
Lafrenière  ;Grosvenor ;male  ;84;5/14/1940;168;99.9;75015;50 rue La Boétie             ;PARIS               ;145.440.102;25046
Abril       ;Fletcher  ;male  ;25;4/6/1999;187;107;37300;30 route de Lyon             ;JOUÉ-LÈS-TOURS      ;281.522.196;25047
Bellemare   ;Thibaut   ;male  ;51;1/17/1973;166;98.2;44230;65 rue des six frères Ruellan;SAINT-SÉBASTIEN-SUR-;247.204.555;25048
Leduc       ;Dominic   ;male  ;48;7/30/1975;180;110.5;67100;95 rue Descartes             ;STRASBOURG          ;342.026.740;25049
Lamarre     ;Delmare   ;female;35;7/18/1988;157;53.6;93210;68 rue de l'Aigle            ;LA PLAINE-SAINT-DENI;134.574.147;25050
Belisle     ;Troy      ;male  ;25;8/26/1998;170;84.2;76130;85 rue des Coudriers         ;MONT-SAINT-AIGNAN   ;212.058.907;25051
Ruais       ;Grosvenor ;male  ;36;5/4/1988;179;97.1;75001;42 Square de la Couronne     ;PARIS               ;134.786.150;25052
Migneault   ;Quincy    ;male  ;51;9/3/1972;186;83.5;94270;67 rue Michel Ange           ;LE KREMLIN-BICÊTRE  ;153.128.413;25053
Lamare      ;Brice     ;male  ;60;1/29/1964;186;109.5;13015;22 boulevard de la Liberation;MARSEILLE           ;418.784.848;25054
Bizier      ;Pénélope  ;female;49;4/9/1975;154;60.1;11000;52 Rue Marie De Médicis      ;CARCASSONNE         ;474.459.908;25055
Deniger     ;Sabine    ;female;40;4/7/1984;160;102.6;68300;94 avenue du Marechal Juin   ;SAINT-LOUIS         ;312.931.238;25056
Routhier    ;Loyal     ;male  ;41;7/28/1982;185;75.5;83140;16 avenue Jules Ferry        ;SIX-FOURS-LES-PLAGES;481.794.869;25057
Jodion      ;Patience  ;female;58;12/14/1965;152;67.6;84000;10 Rue Joseph Vernet         ;AVIGNON             ;486.036.996;25058
Vadeboncoeur;Françoise ;female;61;10/6/1962;169;86.9;69004;49 rue de la République      ;LYON                ;476.086.520;25059
Dupont      ;Vick      ;male  ;77;12/28/1946;167;90.2;31000;13 rue Pierre De Coubertin   ;TOULOUSE            ;502.687.419;25060
Chandonnet  ;Gallia    ;female;68;12/3/1955;159;101.9;16100;6 Place de la Gare           ;COGNAC              ;573.614.624;25061
Lafond      ;Paien     ;male  ;59;7/8/1964;183;80.5;37000;55 quai Saint-Nicolas        ;TOURS               ;298.880.589;25062
Hughes      ;Saville   ;male  ;49;3/6/1975;176;72.7;93210;83 rue de l'Aigle            ;LA PLAINE-SAINT-DENI;186.530.969;25063
Lanteigne   ;Pénélope  ;female;38;8/26/1985;163;65.9;94170;13 rue Goya                  ;LE PERREUX-SUR-MARNE;121.569.630;25064
Paimboeuf   ;Pryor     ;male  ;43;8/14/1980;177;112.5;94170;5 rue Goya                   ;LE PERREUX-SUR-MARNE;123.985.827;25065
Bonenfant   ;Ninette   ;female;52;1/1/1972;156;89.9;59700;93 Rue de la Pompe           ;MARCQ-EN-BAROEUL    ;342.347.349;25066
Théberge    ;Rive      ;female;55;6/19/1968;169;72.4;75013;85 rue La Boétie             ;PARIS               ;116.183.698;25067
Meunier     ;Donat     ;male  ;62;1/30/1962;169;110.7;59280;12 rue de Lille              ;ARMENTIÈRES         ;381.790.581;25068
Faure       ;Raoul     ;male  ;81;6/25/1942;181;79.7;59650;41 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;312.285.773;25069
Cyr         ;Jolie     ;female;41;5/19/1982;166;81.8;93420;92 place de Miremont         ;VILLEPINTE          ;160.424.725;25070
Harquin     ;Luc       ;male  ;49;10/20/1974;184;79.3;59760;1 avenue Ferdinand de Lesseps;GRANDE-SYNTHE       ;235.368.960;25071
de Chateaub ;Yvette    ;female;70;8/2/1953;170;75.6;91160;80 rue Léon Dierx            ;LONGJUMEAU          ;175.167.727;25072
Faucher     ;Marphisa  ;female;80;6/6/1943;153;77.7;92140;49 Rue de Strasbourg         ;CLAMART             ;167.992.261;25073
Deniger     ;Gaston    ;male  ;65;8/24/1958;170;92.7;85000;91 rue du Clair Bocage       ;LA ROCHE-SUR-YON    ;267.581.614;25074
Laurent     ;Namo      ;male  ;84;5/9/1940;179;80.3;33110;12 boulevard Aristide Briand ;LE BOUSCAT          ;575.636.902;25075
Michaud     ;Patrice   ;female;72;10/22/1951;164;69.9;93230;58 rue de Groussay           ;ROMAINVILLE         ;119.210.492;25076
Aubé        ;Lothair   ;male  ;25;8/1/1998;174;65.8;1000;10 rue Petite Fusterie       ;BOURG-EN-BRESSE     ;482.789.568;25077
Francoeur   ;Fiacre    ;male  ;59;10/16/1964;166;103.4;76130;95 rue des Coudriers         ;MONT-SAINT-AIGNAN   ;262.630.834;25078
Mercier     ;Hilaire   ;female;32;11/15/1991;168;59.8;20000;35 Chemin des Bateliers      ;AJACCIO             ;491.822.876;25079
Arsenault   ;Rule      ;male  ;64;10/10/1959;174;101.2;20200;52 Rue du Limas              ;BASTIA              ;460.156.423;25080
René        ;Turner    ;male  ;71;2/24/1953;171;78.4;50000;45 avenue du Marechal Juin   ;SAINT-LÔ            ;258.143.968;25081
Lejeune     ;Pierrette ;female;70;11/14/1953;160;66.3;97470;60 rue des Nations Unies     ;SAINT-BENOÎT        ;275.069.097;25082
Boulanger   ;Eliot     ;male  ;28;7/16/1995;169;104.6;92200;81 rue de Raymond Poincaré   ;NEUILLY-SUR-SEINE   ;112.861.669;25083
Rivière     ;Cinderella;female;30;7/30/1993;159;70.9;4000;12 rue des lieutemants Thomaz;DIGNE-LES-BAINS     ;415.922.606;25084
Massé       ;Matthieu  ;male  ;74;8/2/1949;171;69;97400;3 rue Pierre Motte           ;SAINT-DENIS         ;106.290.471;25085
Doiron      ;Madelene  ;female;29;1/2/1995;155;82.7;64600;27 Chemin Des Bateliers      ;ANGLET              ;584.874.305;25086
Voisine     ;Donatien  ;male  ;59;5/14/1965;170;112.5;78100;26 rue du Château            ;SAINT-GERMAIN-EN-LAY;156.473.129;25087
Lacombe     ;Marcelle  ;female;40;6/13/1983;163;51.5;9000;10 rue Charles Corbeau       ;FOIX                ;507.687.075;25088
Miron       ;Aimé      ;male  ;51;9/13/1972;188;100.5;94320;4 rue du Faubourg National   ;THIAIS              ;113.660.368;25089
Beaulé      ;Villette  ;female;20;8/2/2003;159;67.7;78500;43 rue du Président Roosevelt;SARTROUVILLE        ;190.195.238;25090
Guay        ;Peppin    ;male  ;56;12/22/1967;186;78.1;59760;74 avenue Ferdinand de Lessep;GRANDE-SYNTHE       ;269.537.440;25091
Dupuis      ;Tanguy    ;male  ;51;4/5/1973;184;110.5;1000;74 rue Petite Fusterie       ;BOURG-EN-BRESSE     ;495.868.114;25092
Clavet      ;Fifine    ;female;80;5/19/1943;156;90.6;92200;87 rue de Raymond Poincaré   ;NEUILLY-SUR-SEINE   ;171.019.973;25093
Rossignol   ;Sidney    ;male  ;49;8/15/1974;188;81.2;29000;85 rue de Penthièvre         ;QUIMPER             ;240.921.425;25094
Thibodeau   ;Curtis    ;male  ;32;4/4/1992;180;87.2;92260;67 Boulevard de Normandie    ;FONTENAY-AUX-ROSES  ;190.356.426;25095
Grivois     ;Moore     ;male  ;50;6/4/1973;169;64.4;76000;38 rue de l'Epeule           ;ROUEN               ;238.958.380;25096
Metivier    ;Agnès     ;female;79;12/11/1944;163;95.1;95800;19 boulevard Albin Durand    ;CERGY               ;199.591.811;25097
Lévesque    ;Azura     ;female;36;12/1/1987;165;69.6;94400;25 Rue Bonnet                ;VITRY-SUR-SEINE     ;174.922.887;25098
Bellemare   ;Noémi     ;female;31;9/12/1992;175;84.7;97450;91 avenue du Marechal Juin   ;SAINT-LOUIS         ;291.135.654;25099
Goudreau    ;Jérôme    ;male  ;27;9/3/1996;183;64;91800;9 rue Grande Fusterie        ;BRUNOY              ;151.923.749;25100
Rouze       ;Guerin    ;male  ;69;3/18/1955;182;104.7;97600;56 Rue de la Pompe           ;MAMOUDZOU           ;230.292.699;25101
Desilets    ;Paulette  ;female;25;6/22/1998;172;85.8;47300;8 place de Miremont          ;VILLENEUVE-SUR-LOT  ;529.581.582;25102
de Chateaub ;Antoinette;female;41;6/13/1982;162;85.4;59190;18 Avenue des Tuileries      ;HAZEBROUCK          ;341.038.554;25103
Majory      ;Hedvige   ;female;75;1/3/1949;159;73.2;6520;74 avenue Voltaire           ;MAGAGNOSC           ;445.238.413;25104
Bazin       ;Yvette    ;female;77;1/13/1947;169;87.2;91200;66 rue de Lille              ;ATHIS-MONS          ;174.549.848;25105
Duplessis   ;Genevre   ;female;60;9/11/1963;158;52.1;35700;93 rue Lenotre               ;RENNES              ;231.311.658;25106
Rochon      ;Demi      ;female;74;9/18/1949;165;83.9;59100;2 rue de l'Epeule            ;ROUBAIX             ;313.686.703;25107
Carrière    ;Zacharie  ;male  ;40;12/9/1983;180;77.3;94500;65 place Maurice-Charretier  ;CHAMPIGNY-SUR-MARNE ;193.593.277;25108
Croteau     ;Roch      ;male  ;78;10/6/1945;166;67.8;94170;39 rue Goya                  ;LE PERREUX-SUR-MARNE;123.165.939;25109
Dagenais    ;Geoffrey  ;male  ;23;5/14/2001;173;84;13013;17 boulevard de la Liberation;MARSEILLE           ;433.077.710;25110
Déziel      ;Arienne   ;female;36;11/7/1987;173;84.4;76130;47 rue des Coudriers         ;MONT-SAINT-AIGNAN   ;200.072.988;25111
Josseaume   ;Adélaïde  ;female;59;9/1/1964;162;51.7;97231;3 rue Adolphe Wurtz          ;LE ROBERT           ;587.604.385;25112
Béland      ;Tabor     ;male  ;31;7/13/1992;190;88.1;77350;87 rue Goya                  ;LE MÉE-SUR-SEINE    ;191.558.234;25113
Sylvain     ;Françoise ;female;52;2/12/1972;173;52.6;59150;74 Rue Bonnet                ;WATTRELOS           ;314.411.186;25114
Crête       ;Brigliador;male  ;41;5/21/1982;179;66.6;91300;28 Quai des Belges           ;MASSY               ;137.495.684;25115
Bonami      ;Élisabeth ;female;67;9/16/1956;163;58.7;42100;67 rue du Château            ;SAINT-ÉTIENNE       ;455.788.857;25116
Rancourt    ;Cosette   ;female;27;2/15/1997;155;84.8;33600;99 rue Clement Marot         ;PESSAC              ;558.570.298;25117
Baril       ;Telford   ;male  ;46;3/10/1978;182;96.5;44100;12 place Stanislas           ;NANTES              ;206.468.528;25118
Faucher     ;Favor     ;female;32;2/23/1992;169;62.9;78300;59 rue de la Boétie          ;POISSY              ;173.091.770;25119
Brochu      ;Gilles    ;male  ;83;1/12/1941;173;72.2;59170;70 boulevard Bryas           ;CROIX               ;366.574.119;25120
Givry       ;Azura     ;female;35;2/16/1989;157;49.9;76620;68 rue Michel Ange           ;LE HAVRE            ;235.629.251;25121
Brault      ;Kerman    ;male  ;56;6/27/1967;187;112.6;93170;93 Rue Joseph Vernet         ;BAGNOLET            ;125.609.306;25122
Beaulé      ;Charles   ;male  ;79;8/22/1944;166;102.1;13140;5 rue Bonneterie             ;MIRAMAS             ;430.201.743;25123
Brousseau   ;Benjamin  ;male  ;61;3/18/1963;177;104.5;34000;78 Avenue des Pr'es          ;MONTPELLIER         ;462.249.818;25124
Rouleau     ;Pierrette ;female;29;5/14/1995;163;88.4;93140;20 avenue de l'Amandier      ;BONDY               ;136.435.336;25125
Patry       ;Turner    ;male  ;83;2/18/1941;166;85.6;94170;58 rue Goya                  ;LE PERREUX-SUR-MARNE;171.338.021;25126
Tachel      ;Leone     ;female;47;7/22/1976;161;87.6;95500;19 rue Jean-Monnet           ;GONESSE             ;184.893.163;25127
Lamothe     ;Estelle   ;female;78;6/26/1945;167;82.7;33300;62 cours Jean Jaures         ;BORDEAUX            ;554.251.136;25128
Poirier     ;Cécile    ;female;53;3/5/1971;167;73.6;63000;14 Rue de Strasbourg         ;CLERMONT-FERRAND    ;458.807.904;25129
Gagnon      ;Amarante  ;female;77;6/12/1946;151;74.6;25200;30 rue Bonneterie            ;MONTBÉLIARD         ;359.717.445;25130
Cousteau    ;Denis     ;male  ;30;12/16/1993;190;82.8;13009;9 cours Franklin Roosevelt   ;MARSEILLE           ;447.944.578;25131
Blais       ;Morgana   ;female;26;2/9/1998;169;58;49100;2 Chemin Des Bateliers       ;ANGERS              ;239.882.441;25132
Beaulé      ;Danielle  ;female;61;4/22/1963;169;57.4;78130;34 rue du Paillle en queue   ;LES MUREAUX         ;148.768.258;25133
Chesnay     ;Yvon      ;male  ;47;7/5/1976;175;68.6;95400;68 rue Marguerite            ;VILLIERS-LE-BEL     ;142.980.899;25134
Poulin      ;Honore    ;female;68;9/10/1955;167;92.4;69005;95 rue Banaudon              ;LYON                ;495.507.922;25135
Pirouet     ;Joy       ;female;67;12/21/1956;165;77.1;31300;5 rue Pierre De Coubertin    ;TOULOUSE            ;580.414.008;25136
Brochu      ;Karel     ;male  ;66;7/9/1957;180;64.7;75011;66 Place de la Madeleine     ;PARIS               ;111.813.708;25137
Gamache     ;Victoire  ;female;76;12/16/1947;170;100;16100;47 Place de la Gare          ;COGNAC              ;522.622.269;25138
Benoit      ;Belle     ;female;35;6/10/1988;158;69.5;92350;65 rue Adolphe Wurtz         ;LE PLESSIS-ROBINSON ;157.615.871;25139
Vachon      ;Agate     ;female;37;12/31/1986;158;93.2;78130;13 rue du Paillle en queue   ;LES MUREAUX         ;182.864.042;25140
Loiseau     ;Christophe;male  ;54;9/26/1969;179;72.2;97440;50 rue de l'Epeule           ;SAINT-ANDRÉ         ;233.909.427;25141
Tisserand   ;Vincent   ;male  ;25;9/17/1998;172;94.3;4100;33 Rue de la Pompe           ;MANOSQUE            ;480.445.672;25142
Senneville  ;Adèle     ;female;25;1/18/1999;172;46.9;59150;29 Rue Bonnet                ;WATTRELOS           ;339.467.193;25143
Trottier    ;Angelique ;female;28;11/25/1995;154;51.5;13007;14 cours Franklin Roosevelt  ;MARSEILLE           ;469.074.726;25144
Paquette    ;Brie      ;female;70;6/29/1953;165;85.4;62110;4 rue des Lacs               ;HÉNIN-BEAUMONT      ;349.390.371;25145
Cliche      ;Tempeste  ;female;30;7/17/1993;163;59.9;97200;10 Boulevard de Normandie    ;FORT-DE-FRANCE      ;574.539.490;25146
Girard      ;Alphonsine;female;80;12/7/1943;159;92.1;92140;20 Rue de Strasbourg         ;CLAMART             ;107.787.015;25147
Déziel      ;Blondelle ;female;39;1/14/1985;170;80.9;93120;44 rue des Soeurs            ;LA COURNEUVE        ;168.537.530;25148
Deslauriers ;Geneviève ;female;45;1/14/1979;165;59.4;13127;58 Rue Bonnet                ;VITROLLES           ;452.434.868;25149
Plaisance   ;Pryor     ;male  ;74;9/13/1949;182;92.8;62110;72 rue des Lacs              ;HÉNIN-BEAUMONT      ;317.365.804;25150
Moquin      ;Zdenek    ;male  ;71;6/12/1952;181;62.7;6400;5 Rue Marie De Médicis       ;CANNES              ;435.681.033;25151
Pichette    ;Lucille   ;female;41;1/30/1983;167;99.6;72000;84 rue Goya                  ;LE MANS             ;282.484.689;25152
Renaud      ;Paien     ;male  ;42;9/29/1981;183;109;97110;88 rue de la Boétie          ;POINTE-À-PITRE      ;579.954.679;25153
Devoe       ;Odette    ;female;48;7/11/1975;153;79.2;94310;16 boulevard Amiral Courbet  ;ORLY                ;197.453.616;25154
Martineau   ;Ninette   ;female;29;4/10/1995;169;94.7;89000;22 rue Sadi Carnot           ;AUXERRE             ;311.151.086;25155
D'Aubigné   ;Favor     ;female;29;3/8/1995;169;97.4;75016;15 rue La Boétie             ;PARIS               ;111.873.818;25156
Jolicoeur   ;Loring    ;male  ;23;4/15/2001;177;84.6;76400;67 rue Charles Corbeau       ;FÉCAMP              ;200.872.840;25157
L'Anglais   ;Alita     ;female;64;8/13/1959;168;93.1;94320;12 rue du Faubourg National  ;THIAIS              ;173.858.714;25158
St-Jacques  ;Franck    ;male  ;71;5/20/1952;163;99.4;49300;13 rue Ernest Renan          ;CHOLET              ;291.111.998;25159
Margand     ;Nathalie  ;female;23;10/21/2000;162;79.2;69800;57 rue de la Hulotais        ;SAINT-PRIEST        ;481.237.310;25160
Paré        ;Brigitte  ;female;64;7/9/1959;166;58;92210;3 rue des Nations Unies      ;SAINT-CLOUD         ;118.621.074;25161
Champagne   ;Melisande ;female;62;4/23/1962;168;67.8;78170;26 rue des Soeurs            ;LA CELLE-SAINT-CLOUD;179.475.177;25162
Hachée      ;Gauthier  ;male  ;39;4/9/1985;167;97.9;16100;15 Place de la Gare          ;COGNAC              ;572.255.951;25163
Patenaude   ;Rachelle  ;female;33;10/26/1990;154;103.5;93700;4 rue Cazade                 ;DRANCY              ;100.061.261;25164
Auberjonois ;Sidney    ;male  ;34;5/17/1990;174;113.9;26100;36 rue de Groussay           ;ROMANS-SUR-ISÈRE    ;436.399.099;25165
Gamelin     ;Natalie   ;female;77;7/16/1946;152;54.3;78180;77 Avenue des Pr'es          ;MONTIGNY-LE-BRETONNE;178.281.841;25166
Chandonnet  ;Stéphane  ;male  ;58;10/23/1965;185;75.7;92170;46 boulevard d'Alsace        ;VANVES              ;161.644.517;25167
Metivier    ;Maurice   ;male  ;20;3/14/2004;188;70.8;75006;7 rue Nationale              ;PARIS               ;170.207.869;25168
Gamelin     ;Comforte  ;female;83;5/16/1941;157;58.5;44100;67 place Stanislas           ;NANTES              ;234.602.072;25169
Boisvert    ;Demi      ;female;31;7/20/1992;157;98.4;89000;76 rue Sadi Carnot           ;AUXERRE             ;367.096.740;25170
Moquin      ;Fleur     ;female;71;9/29/1952;153;57.8;6700;53 avenue du Marechal Juin   ;SAINT-LAURENT-DU-VAR;421.291.469;25171
Déziel      ;Charles   ;male  ;20;4/22/2004;175;60.6;94130;84 boulevard de Prague       ;NOGENT-SUR-MARNE    ;189.713.510;25172
Boucher     ;Laetitia  ;female;43;12/23/1980;157;56.1;14000;51 Chemin Du Lavarin Sud     ;CAEN                ;264.552.117;25173
Baron       ;Orva      ;female;39;9/1/1984;157;95.8;6110;44 boulevard Aristide Briand ;LE CANNET           ;464.220.349;25174
Jodoin      ;Esmeraude ;female;56;9/23/1967;172;58.4;13090;91 rue Gontier-Patin         ;AIX-EN-PROVENCE     ;431.739.782;25175
de Brisay   ;Iven      ;male  ;36;8/5/1987;186;102.4;28000;70 place Maurice-Charretier  ;CHARTRES            ;299.112.906;25176
Chauvin     ;Favor     ;female;47;10/31/1976;155;68.9;97440;56 rue de l'Epeule           ;SAINT-ANDRÉ         ;246.609.869;25177
Déziel      ;Alita     ;female;67;5/11/1957;163;102;13001;56 rue Beauvau               ;MARSEILLE           ;424.573.628;25178
Sacré       ;Byron     ;male  ;53;7/12/1970;168;68.2;52100;91 rue Pierre Motte          ;SAINT-DIZIER        ;345.465.745;25179
Moïse       ;Brier     ;female;54;6/28/1969;170;75.6;6110;71 boulevard Aristide Briand ;LE CANNET           ;446.142.433;25180
Bossé       ;Frédéric  ;male  ;51;6/21/1972;172;103.4;76100;84 rue de l'Epeule           ;ROUEN               ;265.651.499;25181
Artois      ;Chandler  ;male  ;59;9/25/1964;167;64;97430;2 rue du Général Ailleret    ;LE TAMPON           ;289.340.951;25182
Authier     ;Sibyla    ;female;19;4/29/2005;166;63.1;20090;2 Chemin des Bateliers       ;AJACCIO             ;491.856.500;25183
Marois      ;Aimé      ;male  ;25;3/21/1999;183;67.6;75116;24 Faubourg Saint Honoré     ;PARIS               ;127.016.196;25184
Fresne      ;Anton     ;male  ;25;1/26/1999;187;104.8;59160;94 rue Léon Dierx            ;LOMME               ;315.466.090;25185
Ducharme    ;Patricia  ;female;40;1/5/1984;159;56.3;95800;23 boulevard Albin Durand    ;CERGY               ;180.151.045;25186
Marcheterre ;Arienne   ;female;50;4/15/1974;153;53;37000;29 quai Saint-Nicolas        ;TOURS               ;291.142.720;25187
Doucet      ;Agathe    ;female;66;12/7/1957;165;95.2;95130;96 rue Isambard              ;FRANCONVILLE-LA-GARE;134.300.298;25188
Durand      ;Brice     ;female;26;7/20/1997;175;52.6;51200;47 Rue du Palais             ;ÉPERNAY             ;335.881.163;25189
Pichette    ;Maslin    ;male  ;43;11/20/1980;174;115.6;94100;77 rue des Dunes             ;SAINT-MAUR-DES-FOSSÈ;135.800.402;25190
Sicard      ;Iva       ;female;81;5/3/1943;159;90;74200;94 rue du Fossé des Tanneurs ;THONON-LES-BAINS    ;429.891.594;25191
David       ;Caroline  ;female;72;11/24/1951;170;75.5;75019;61 Faubourg Saint Honoré     ;PARIS               ;140.318.144;25192
Dubois      ;Tempeste  ;female;36;3/31/1988;161;96.8;69001;51 rue de la République      ;LYON                ;416.803.208;25193
Marquis     ;Emmeline  ;female;67;9/1/1956;160;100.2;56100;45 Rue Hubert de Lisle       ;LORIENT             ;297.231.680;25194
Nadeau      ;Slainie   ;female;47;9/26/1976;168;63;80090;1 rue de Geneve              ;AMIENS              ;383.617.704;25195
Voisine     ;Eglantine ;female;33;9/17/1990;166;67.7;97150;88 rue des Dunes             ;SAINT-MARTIN        ;565.896.082;25196
Charest     ;Agnès     ;female;51;12/10/1972;165;89.9;20000;27 Chemin des Bateliers      ;AJACCIO             ;423.703.668;25197
Sylvain     ;Merle     ;male  ;34;3/8/1990;178;63.1;50000;69 avenue du Marechal Juin   ;SAINT-LÔ            ;216.273.901;25198
Vincent     ;Lundy     ;female;22;10/22/2001;173;99.6;13127;76 Rue Bonnet                ;VITROLLES           ;428.272.885;25199
