Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber
Allard      ;Landers  ;male  ;25;3/31/1999;;87;56000;1 avenue de Provence         ;VANNES              ;235.260.280
Dionne      ;Victorine;female;60;5/4/1964;;;62100;15 Chemin Du Lavarin Sud     ;;327.486.949
Berie       ;Clovis   ;;;;;;95000;11 boulevard Albin Durand    ;CERGY               ;
Tachel      ;Cher     ;female;;11/19/1982;;86;13001;;MARSEILLE           ;441.303.397
Guernon     ;Alexis   ;male  ;;9/10/1959;167;73.9;57100;97 rue du Faubourg National  ;THIONVILLE          ;369.299.387
Tremblay    ;Ernest   ;;;9/17/1988;177;84.1;13090;8 rue Gontier-Patin          ;;458.688.972
Dubeau      ;Burnell  ;male  ;20;8/10/2003;186;82.2;64700;55 avenue Voltaire           ;MAISONS-ALFORT      ;540.141.625
Jalbert     ;André    ;;58;1/7/1966;178;65.9;74100;86 Avenue De Marlioz         ;;447.065.864
Barjavel    ;Pierpont ;male  ;31;;172;;81000;42 Chemin des Bateliers      ;ALBI                ;
Gendron     ;Anaïs    ;female;27;12/25/1996;173;99;;87 rue Sadi Carnot           ;AUCH                ;506.171.789
Lafond      ;Yvette   ;female;85;4/28/1939;;83.7;36000;61 rue du Gue Jacquet        ;CHÂTEAUROUX         ;
Franchet    ;Élodie   ;female;78;1/30/1946;158;;97470;33 rue des Nations Unies     ;SAINT-BENOÎT        ;201.630.360
Devoe       ;Porter   ;male  ;19;;190;;;37 rue de Geneve             ;;150.777.158
Soucy       ;Dominic  ;male  ;68;7/29/1955;165;98.2;78140;94 boulevard d'Alsace        ;;117.448.151
Lamare      ;Sébastien;male  ;33;12/2/1990;;84.4;93290;40 avenue Jean Portalis      ;;197.314.006
Fongemie    ;Joséphine;;29;9/26/1994;;55.1;38200;15 Place du Jeu de Paume     ;;
Allard      ;Maurice  ;male  ;57;;;101.1;93220;26 rue Saint Germain         ;GAGNY               ;111.071.627
René        ;Laurent  ;male  ;72;7/17/1951;;72.2;11000;;CARCASSONNE         ;428.579.176
Parmentier  ;Eloise   ;female;;7/15/1940;164;83.9;88100;;SAINT-DIÉ           ;382.213.730
Boucher     ;Emmeline ;female;31;2/22/1993;157;99.5;30100;54 rue de Geneve             ;ALÈS                ;493.216.269
Bonnet      ;Alphonsin;female;;10/22/1955;151;58.8;87000;20 Chemin Challet            ;LIMOGES             ;560.303.297
Boisclair   ;Angelique;female;;4/25/1989;;;73100;34 Chemin des Bateliers      ;AIX-LES-BAINS       ;422.061.382
Corbin      ;Vincent  ;male  ;21;6/3/2002;184;69.8;62300;83 rue du Général Ailleret   ;;318.479.281
Barteaux    ;Chantal  ;;64;11/14/1959;164;69.5;75009;25 Place de la Madeleine     ;;101.219.114
Bellemare   ;Charlot  ;male  ;;4/13/1969;;115.7;25200;51 rue Bonneterie            ;;353.329.144
Sevier      ;Vallis   ;;56;1/23/1968;186;113.6;;33 rue de la République      ;LUNÉVILLE           ;367.665.282
Hachée      ;Aurore   ;female;56;1/23/1968;163;92.2;94170;61 rue Goya                  ;LE PERREUX-SUR-MARNE;135.522.341
Thibodeau   ;Sébastien;male  ;20;1/14/2004;174;73;92110;4 Rue de Strasbourg          ;CLICHY              ;100.330.181
Cliche      ;Amedee   ;female;83;3/31/1941;162;74.1;;41 rue du Fossé des Tanneurs ;TOULON              ;477.157.723
Lalonde     ;Gilles   ;male  ;32;11/15/1991;;72.8;45400;;FLEURY-LES-AUBRAIS  ;255.141.508
Drouin      ;André    ;;;12/1/2004;;59;95800;;CERGY               ;161.911.589
Rocheleau   ;Clémence ;female;25;2/24/1999;172;99.2;55000;16 Rue Joseph Vernet         ;BAR-LE-DUC          ;337.707.915
Asselin     ;Valiant  ;male  ;34;;179;74.5;83000;;TOULON              ;462.242.564
Aucoin      ;Michel   ;;;6/24/1984;184;64.9;64600;33 Chemin Des Bateliers      ;ANGLET              ;
Charbonneau ;Geneviève;female;21;11/17/2002;160;79.6;60100;34 boulevard Bryas           ;CREIL               ;
Dufour      ;Dorene   ;female;;7/27/1975;155;79.8;95000;;PONTOISE            ;324.928.843
Dubeau      ;Théodore ;male  ;25;4/11/1999;180;63;93270;;SEVRAN              ;
Allaire     ;Aymon    ;male  ;62;4/25/1962;167;70.7;28100;41 rue Cazade                ;DREUX               ;220.311.166
Lamarre     ;Marphisa ;female;73;6/5/1950;;74.7;53000;;LAVAL               ;277.390.549
Labelle     ;Ferrau   ;male  ;;;175;105.6;57600;61 Boulevard de Normandie    ;;374.605.629
Gadbois     ;Millicent;female;54;11/9/1969;;;;50 rue du Paillle en queue   ;LEVALLOIS-PERRET    ;178.437.076
Chesnay     ;Halette  ;;29;1/15/1995;;69.1;60200;22 rue Victor Hugo           ;COMPIÈGNE           ;
Mazuret     ;Adorlee  ;;46;;159;50.4;93420;49 place de Miremont         ;;188.743.294
Mireault    ;Peppin   ;male  ;77;9/8/1946;;;;41 cours Jean Jaures         ;BOULOGNE-BILLANCOURT;
Begin       ;Adrien   ;;44;3/19/1980;170;92.8;57200;81 rue des six frères Ruellan;SARREGUEMINES       ;304.572.835
Laisné      ;Henry    ;male  ;64;8/31/1959;171;70.2;38130;25 Avenue Millies Lacroix    ;ÉCHIROLLES          ;403.468.998
Jalbert     ;Bevis    ;male  ;28;11/15/1995;;85.2;30900;26 boulevard de Prague       ;NÎMES               ;402.602.235
L'Anglais   ;Maureen  ;female;65;12/19/1958;164;74.3;13008;71 cours Franklin Roosevelt  ;MARSEILLE           ;407.297.140
Turcotte    ;Jérôme   ;male  ;44;;176;110.8;92110;97 Rue de Strasbourg         ;CLICHY              ;144.019.448
Garnier     ;Nouel    ;;77;4/4/1947;166;89.3;59240;55 rue Cazade                ;DUNKERQUE           ;315.177.900
Lacasse     ;Babette  ;female;;12/20/2004;172;;;14 rue du Paillle en queue   ;LES MUREAUX         ;136.026.710
Daigle      ;Delmar   ;male  ;47;3/16/1977;185;69.6;87280;66 rue Léon Dierx            ;LIMOGES             ;567.856.522
Bossé       ;Zerbino  ;male  ;72;1/18/1952;176;76.8;75011;;PARIS               ;130.022.635
Parent      ;Claude   ;female;53;6/6/1970;164;52.6;;27 rue du Président Roosevelt;SAVIGNY-SUR-ORGE    ;162.961.144
Marois      ;Pierrette;female;54;;;99.9;21000;18 rue des lieutemants Thomaz;DIJON               ;
Auberjonois ;Diane    ;female;27;;162;51.5;92350;39 rue Adolphe Wurtz         ;LE PLESSIS-ROBINSON ;160.017.726
Houde       ;Rive     ;female;;7/23/1976;164;94.6;94320;35 rue du Faubourg National  ;THIAIS              ;179.146.659
Busque      ;Marc     ;male  ;35;10/16/1988;176;;83130;37 rue des Soeurs            ;LA GARDE            ;
Dodier      ;Fiacre   ;;28;;;100.4;;23 cours Franklin Roosevelt  ;MARSEILLE           ;468.366.768
Henrichon   ;Kerman   ;male  ;74;1/24/1950;175;63.8;94130;73 boulevard de Prague       ;NOGENT-SUR-MARNE    ;169.165.879
Saucier     ;Audric   ;male  ;37;1/2/1987;178;97.3;83500;36 rue du Clair Bocage       ;LA SEYNE-SUR-MER    ;498.457.141
Langelier   ;Gauthier ;male  ;39;4/14/1985;174;;6500;;MENTON              ;443.181.838
Gauvin      ;Henri    ;male  ;66;11/3/1957;165;92.2;;;PARIS               ;163.361.816
Paquin      ;Creissant;female;;4/21/1998;;78.1;78150;72 boulevard Aristide Briand ;LE CHESNAY          ;114.890.883
LaGarde     ;Pierpont ;;70;7/3/1953;173;105.9;20600;;;468.065.501
Deschênes   ;Yvon     ;male  ;28;4/6/1996;;;77330;29 Square de la Couronne     ;;111.069.908
Massé       ;Ninette  ;;77;4/12/1947;159;97;87280;;LIMOGES             ;548.787.176
Lamontagne  ;Blondelle;female;51;12/24/1972;172;56.1;20090;31 Chemin des Bateliers      ;AJACCIO             ;491.181.577
Guilmette   ;Loring   ;male  ;76;1/11/1948;177;92.9;;57 rue de la Mare aux Carats ;MONTROUGE           ;153.486.346
Chatigny    ;Cammile  ;female;;9/16/2001;166;88.4;70000;2 Rue Frédéric Chopin        ;VESOUL              ;328.697.688
Garceau     ;Sennet   ;male  ;;;;69.8;13008;16 cours Franklin Roosevelt  ;MARSEILLE           ;469.068.710
Laberge     ;Aimée    ;female;79;5/28/1944;165;96.2;54500;28 avenue de Provence        ;VANDOEUVRE-LÈS-NANCY;347.127.854
Galarneau   ;Philip   ;male  ;;8/29/1947;168;99.7;;;MONT-SAINT-AIGNAN   ;285.102.799
Huard       ;Arridano ;male  ;40;8/15/1983;186;107.7;13006;96 cours Franklin Roosevelt  ;MARSEILLE           ;445.933.524
Duranseau   ;Natalie  ;female;;1/18/1992;157;59.7;83400;;HYÈRES              ;484.806.553
Martineau   ;Edmee    ;female;;6/15/1987;170;;78150;36 boulevard Aristide Briand ;;
Sanschagrin ;Catherine;;62;7/17/1961;160;75.2;95220;;HERBLAY             ;137.596.001
de Brisay   ;Warrane  ;male  ;41;1/7/1983;175;96.9;59640;36 Avenue Millies Lacroix    ;;
Bourget     ;Noël     ;male  ;75;3/10/1949;178;80.8;;35 avenue du Marechal Juin   ;SAINT-LÔ            ;222.211.250
Avare       ;David    ;male  ;41;;181;108;69150;79 Cours Marechal-Joffre     ;;
Sevier      ;Mignonett;female;47;10/10/1976;153;77.1;44700;21 boulevard Amiral Courbet  ;;
Devost      ;Fleur    ;female;74;5/18/1949;;85.8;33100;75 cours Jean Jaures         ;BORDEAUX            ;589.166.856
Labrie      ;Lance    ;male  ;;2/7/1982;187;;74000;;;408.831.988
Aubin       ;Denis    ;male  ;66;5/2/1958;;67.6;97234;68 rue Isambard              ;FORT-DE-FRANCE      ;531.551.664
Pelchat     ;Emmanuel ;male  ;;1/6/1953;168;95.5;78280;99 Avenue des Tuileries      ;GUYANCOURT          ;163.322.349
Cadieux     ;Lirienne ;female;46;5/24/1977;161;76.9;95500;21 rue Jean-Monnet           ;GONESSE             ;107.628.598
Paradis     ;Joseph   ;male  ;;1/25/2000;;73.2;94140;92 rue de Geneve             ;ALFORTVILLE         ;189.123.357
Deschamps   ;Christian;male  ;;12/27/1958;172;;;50 Rue Marie De Médicis      ;CALUIRE-ET-CUIRE    ;472.010.639
Bouchard    ;Antoinett;female;71;11/8/1952;163;68.2;59140;29 rue Cazade                ;DUNKERQUE           ;368.524.918
Marquis     ;André    ;male  ;;1/10/1990;190;74.4;92500;55 rue de l'Epeule           ;RUEIL-MALMAISON     ;122.219.598
Boivin      ;Christien;;43;8/3/1980;179;67.1;67400;19 route de Lyon             ;;385.009.737
Parrot      ;Pomeroy  ;;46;8/29/1977;174;112.3;91300;22 Quai des Belges           ;MASSY               ;
Couet       ;Antoinett;female;66;5/23/1957;167;89;;36 rue Isambard              ;FRANCONVILLE-LA-GARE;105.957.009
Casgrain    ;Dominique;female;;;156;97.9;97300;41 rue Porte d'Orange        ;CAYENNE             ;
Grivois     ;Anastasie;female;43;7/7/1980;169;96.7;44400;21 rue Gustave Eiffel        ;REZÉ                ;280.718.277
Barteaux    ;Lucas    ;male  ;47;;171;66.4;94300;63 rue Marguerite            ;VINCENNES           ;
Rocher      ;Leverett ;male  ;59;11/2/1964;185;79.3;69009;97 rue Banaudon              ;LYON                ;493.112.566
Doucet      ;Chapin   ;male  ;;3/23/1944;163;63.3;72000;69 rue Goya                  ;LE MANS             ;226.749.001
Alexandre   ;Marphisa ;female;32;5/1/1992;157;103;95160;;MONTMORENCY         ;
Piedalue    ;Burkett  ;male  ;;8/21/1946;165;102.4;2000;;LAON                ;396.637.618
D'Avis      ;Danielle ;female;71;8/2/1952;157;97.7;13700;5 Rue de la Pompe            ;MARIGNANE           ;
Carrière    ;Lyle     ;male  ;84;;183;;31700;24 rue Marie de Médicis      ;BLAGNAC             ;519.792.791
Bernier     ;Minette  ;female;21;11/10/2002;;;44100;64 place Stanislas           ;NANTES              ;216.416.332
Robitaille  ;Platt    ;male  ;85;;174;62.4;75020;;PARIS               ;
Lapierre    ;Clarice  ;female;;10/19/1984;160;94;94270;14 rue Michel Ange           ;LE KREMLIN-BICÊTRE  ;
Hachée      ;Frédériqu;female;65;9/29/1958;164;74.2;92110;;;182.079.991
LaCaille    ;Philip   ;male  ;;;164;;97234;39 rue Isambard              ;FORT-DE-FRANCE      ;511.479.331
Gaillou     ;Élise    ;female;30;;;49.9;49000;89 Chemin Des Bateliers      ;ANGERS              ;285.703.544
Laliberté   ;Jeannine ;female;39;5/15/1985;173;99.7;30900;53 boulevard de Prague       ;NÎMES               ;485.005.733
Lalonde     ;Vick     ;male  ;75;12/10/1948;183;66.6;;37 Avenue des Pr'es          ;MONTPELLIER         ;
Du Trieux   ;Karlotta ;female;48;4/24/1976;162;87.1;13800;66 route de Lyon             ;ISTRES              ;423.424.178
Labrecque   ;Fanette  ;female;28;10/23/1995;;98.8;59491;26 Place Charles de Gaulle   ;;
Meilleur    ;Joseph   ;;40;;;109.6;31100;90 rue Pierre De Coubertin   ;TOULOUSE            ;514.911.302
Pariseau    ;Auda     ;female;29;10/26/1994;166;51.4;33000;52 avenue de l'Amandier      ;BORDEAUX            ;534.757.499
Gareau      ;Calandre ;female;;7/3/1954;164;65.1;92170;;VANVES              ;189.005.320
Pitre       ;Peppin   ;;24;;;88.2;78170;37 rue des Soeurs            ;;108.822.866
Baril       ;Vallis   ;male  ;46;10/8/1977;174;;94800;34 Place du Jeu de Paume     ;VILLEJUIF           ;168.396.940
Dufresne    ;Jessamine;female;79;9/1/1944;;104.6;95160;;MONTMORENCY         ;
Fontaine    ;Felicien ;;27;10/16/1996;169;78.2;94200;;IVRY-SUR-SEINE      ;141.078.700
Bonenfant   ;Charlot  ;male  ;19;4/8/2005;182;94.9;31000;38 rue Pierre De Coubertin   ;TOULOUSE            ;574.355.858
St-Pierre   ;Villette ;female;56;;165;92.8;92100;38 cours Jean Jaures         ;;132.187.229
Lesage      ;Victoire ;female;;9/17/1953;162;;37000;;;284.585.342
Lanteigne   ;Aimé     ;male  ;26;;168;71.8;75009;90 Place de la Madeleine     ;PARIS               ;184.673.216
Parmentier  ;Gaston   ;male  ;;;170;64.6;;14 rue Marguerite            ;VILLEURBANNE        ;
Artois      ;Julie    ;female;43;6/25/1980;156;;;8 rue Porte d'Orange         ;;499.771.424
Grimard     ;Alexandre;male  ;43;;185;64.6;;;;
Laforge     ;Natalie  ;female;75;8/10/1948;163;67.9;67200;30 rue Descartes             ;STRASBOURG          ;386.031.096
Hétu        ;Lothair  ;male  ;42;12/15/1981;167;;;48 rue de Raymond Poincaré   ;NEUILLY-SUR-MARNE   ;195.375.637
Couture     ;Beaufort ;;;6/12/1959;;104.3;21200;63 Rue du Limas              ;;397.267.867
Théberge    ;Fusberta ;female;77;4/25/1947;169;54.7;42000;39 rue Sébastopol            ;SAINT-ÉTIENNE       ;417.436.134
L'Hiver     ;Babette  ;female;58;1/18/1966;167;;;94 rue Beauvau               ;;
Franchet    ;Clovis   ;male  ;57;5/29/1966;176;76.7;13010;78 cours Franklin Roosevelt  ;MARSEILLE           ;463.999.789
Ruel        ;Durandana;female;19;2/5/2005;165;58.7;67400;87 route de Lyon             ;;380.895.550
Chauvin     ;Astolpho ;;;10/16/1946;177;100.2;69110;;SAINTE-FOY-LÈS-LYON ;416.231.712
Plouffe     ;Gérard   ;male  ;34;;177;110;;55 rue de Raymond Poincaré   ;NEUILLY-SUR-SEINE   ;119.306.060
Routhier    ;Caresse  ;female;84;1/1/1940;;;;36 Place Napoléon            ;;229.657.885
Lapierre    ;Sennet   ;male  ;49;11/9/1974;172;95.5;31300;79 rue Pierre De Coubertin   ;TOULOUSE            ;586.585.874
Tessier     ;Vedette  ;female;59;;171;;58000;85 rue des Chaligny          ;NEVERS              ;374.070.985
Lejeune     ;Sophie   ;female;75;7/9/1948;168;88.2;59600;39 Quai des Belges           ;MAUBEUGE            ;387.100.123
Boulé       ;Aleron   ;male  ;55;;;96.6;59160;16 rue Léon Dierx            ;LOMME               ;338.148.249
Théberge    ;Amedee   ;female;43;5/27/1980;165;92.6;51100;41 rue Lenotre               ;REIMS               ;384.003.297
Édouard     ;Xavierre ;female;64;11/27/1959;153;62.6;35400;;SAINT-MALO          ;230.968.116
Poulin      ;Charmaine;female;46;10/31/1977;168;68.3;67500;44 Avenue des Tuileries      ;HAGUENAU            ;377.326.441
Aupry       ;Leal     ;male  ;31;11/10/1992;;102.7;97200;;;
Dufour      ;Gano     ;male  ;56;12/25/1967;171;110.3;45000;7 Rue Roussy                 ;ORLÉANS             ;276.621.756
Bossé       ;Moore    ;male  ;;7/9/1994;169;103.2;79000;30 boulevard de Prague       ;NIORT               ;548.697.885
Quiron      ;Felicien ;;82;4/26/1942;182;63.6;93140;76 avenue de l'Amandier      ;BONDY               ;122.857.898
Clément     ;Éric     ;;83;1/11/1941;163;77.2;94400;12 Rue Bonnet                ;VITRY-SUR-SEINE     ;149.196.012
Paquette    ;Hélène   ;female;63;;164;90.1;;;MAISONS-ALFORT      ;574.444.067
Sylvain     ;Leone    ;female;61;11/2/1962;158;75.7;78120;61 rue Lenotre               ;RAMBOUILLET         ;117.809.741
Bédard      ;Gaetan   ;male  ;;2/11/1940;164;;92300;91 rue du Paillle en queue   ;LEVALLOIS-PERRET    ;
Ruest       ;Henry    ;male  ;61;5/6/1963;;110.6;45100;63 boulevard Amiral Courbet  ;ORLÉANS             ;236.519.058
Montminy    ;Senapus  ;male  ;74;9/15/1949;177;67.7;94100;83 rue des Dunes             ;;100.694.793
St-Jean     ;Marphisa ;female;29;3/7/1995;;76.8;;52 boulevard Albin Durand    ;CHALON-SUR-SAÔNE    ;305.198.667
Labelle     ;Roux     ;;77;2/6/1947;170;77.9;59100;39 rue de l'Epeule           ;;316.063.797
Thibodeau   ;Creissant;female;49;4/18/1975;172;83.8;18000;6 rue Petite Fusterie        ;BOURGES             ;263.597.811
Labelle     ;Claudette;female;45;6/4/1978;;;91940;62 rue du Paillle en queue   ;LES ULIS            ;185.919.000
Pirouet     ;Sébastien;;69;8/31/1954;175;94.5;73000;;CHAMBÉRY            ;451.281.780
Couturier   ;Desire   ;male  ;44;4/23/1980;184;64.3;93250;72 Place Charles de Gaulle   ;VILLEMOMBLE         ;101.401.501
Généreux    ;Ferrau   ;male  ;20;11/29/2003;188;59.2;92360;49 Rue St Ferréol            ;MEUDON-LA-FORÊT     ;181.308.464
Barrientos  ;Vaden    ;male  ;48;7/4/1975;180;91.1;59600;52 Quai des Belges           ;MAUBEUGE            ;322.268.075
Daigle      ;Clothilde;female;65;3/2/1959;157;65.2;95870;;BEZONS              ;106.445.223
Rouze       ;Alain    ;male  ;19;11/29/2004;188;71;91000;46 rue Gustave Eiffel        ;;138.384.240
Cailot      ;Ogier    ;male  ;24;11/24/1999;;60.4;18000;16 rue Petite Fusterie       ;BOURGES             ;229.646.603
Deschênes   ;Rémy     ;male  ;66;12/19/1957;177;107.3;;;FONTAINE            ;487.645.051
Tisserand   ;Somer    ;male  ;66;4/2/1958;180;;13090;40 rue Gontier-Patin         ;AIX-EN-PROVENCE     ;449.231.174
Devost      ;Jacques  ;;35;8/22/1988;185;68;;33 rue Reine Elisabeth       ;METZ                ;348.171.763
Bertrand    ;Joséphine;;23;10/7/2000;172;83.8;92190;5 Rue St Ferréol             ;MEUDON              ;
Quinn       ;Caroline ;female;57;3/4/1967;168;92.2;83000;96 rue du Fossé des Tanneurs ;TOULON              ;453.974.774
Leroux      ;Andrée   ;female;37;5/3/1987;174;81.4;69400;94 Place du Jeu de Paume     ;VILLEFRANCHE-SUR-SAÔ;493.962.657
Beaudoin    ;Legget   ;male  ;40;;174;65.9;;55 Boulevard de Normandie    ;FONTENAY-AUX-ROSES  ;199.251.455
Chesnay     ;Valentine;female;;3/5/1983;;58.7;38500;;VOIRON              ;
Majory      ;Avelaine ;female;19;2/5/2005;173;88.1;69120;43 boulevard d'Alsace        ;VAULX-EN-VELIN      ;468.692.730
Giroux      ;Alita    ;female;63;10/23/1960;158;75.5;67100;1 rue Descartes              ;STRASBOURG          ;364.758.523
Mothé       ;Armand   ;male  ;76;7/3/1947;176;87.1;72000;44 rue Goya                  ;LE MANS             ;261.324.486
Beaulé      ;Jeannine ;female;44;8/9/1979;;;97234;98 rue Isambard              ;FORT-DE-FRANCE      ;
Goguen      ;Margaux  ;female;75;3/5/1949;;83;77500;99 rue Ernest Renan          ;;186.715.371
Henrichon   ;Neville  ;;71;4/19/1953;164;74.5;;22 Boulevard de Normandie    ;FONTAINE            ;
Lacasse     ;Rachelle ;female;77;3/28/1947;155;92.4;38000;49 avenue Ferdinand de Lessep;GRENOBLE            ;428.280.599
Lepage      ;Amorette ;female;69;7/6/1954;153;;36000;18 rue du Gue Jacquet        ;CHÂTEAUROUX         ;230.409.400
Angélil     ;Odo      ;male  ;83;8/8/1940;180;65.5;25200;27 rue Bonneterie            ;MONTBÉLIARD         ;312.044.823
Beaudry     ;Troy     ;male  ;22;11/15/2001;176;66.3;74100;;;468.978.423
Nadeau      ;Véronique;female;42;10/26/1981;166;84.7;93110;87 rue de Groussay           ;ROSNY-SOUS-BOIS     ;185.412.089
Lafrenière  ;Amber    ;female;81;4/18/1943;159;81.2;92240;48 avenue Voltaire           ;MALAKOFF            ;190.485.828
Chatigny    ;Pascaline;female;43;;163;103.5;;22 rue des six frères Ruellan;;196.885.026
Busque      ;Charlotte;female;;1/11/1944;;;69005;45 rue Banaudon              ;;
Lacasse     ;Marguerit;;40;12/22/1983;170;;76120;72 boulevard Aristide Briand ;LE GRAND-QUEVILLY   ;200.158.233
Sarrazin    ;Gifford  ;;39;11/23/1984;172;;76610;87 rue Michel Ange           ;LE HAVRE            ;252.711.295
Fremont     ;Latimer  ;male  ;55;1/14/1969;;;35200;68 rue Lenotre               ;RENNES              ;292.137.614
Charpie     ;Pauline  ;female;20;11/8/2003;170;82.2;97232;97 rue Michel Ange           ;LE LAMENTIN         ;551.846.044
Gregoire    ;Ray      ;male  ;67;;;75.7;33300;;BORDEAUX            ;
Laforest    ;Martine  ;female;59;12/15/1964;158;60.9;55000;49 Rue Joseph Vernet         ;BAR-LE-DUC          ;333.269.183
Grignon     ;Josephe  ;;31;4/25/1993;160;81.1;10000;62 avenue Jean Portalis      ;TROYES              ;353.780.624
Verreau     ;Nicolas  ;male  ;49;8/29/1974;167;82.5;21200;39 Rue du Limas              ;;309.415.336
Duplanty    ;Octave   ;male  ;63;2/28/1961;178;105.5;87280;58 rue Léon Dierx            ;;529.608.590
Patry       ;Ernest   ;;42;12/14/1981;188;82.9;77380;90 Place de la Gare          ;COMBS-LA-VILLE      ;174.304.557
Gauvin      ;Magnolia ;female;56;6/12/1967;160;86.8;69120;80 boulevard d'Alsace        ;VAULX-EN-VELIN      ;483.393.736
Meilleur    ;Aimé     ;male  ;;8/2/2004;;76.9;45100;82 boulevard Amiral Courbet  ;ORLÉANS             ;295.515.134
Voisine     ;Auriville;male  ;28;3/5/1996;176;69.6;44300;88 rue de Raymond Poincaré   ;NANTES              ;
Beaudouin   ;Romain   ;male  ;51;5/31/1972;;94.8;75001;66 Square de la Couronne     ;PARIS               ;111.495.315
Couet       ;Ancelina ;female;73;;157;;71000;4 avenue Voltaire            ;MÂCON               ;312.003.882
Dodier      ;Élisabeth;female;39;2/10/1985;158;58.4;54500;;VANDOEUVRE-LÈS-NANCY;320.498.782
Jacques     ;Diane    ;female;61;4/12/1963;;;69009;47 rue Banaudon              ;LYON                ;464.158.559
Foucault    ;Alfred   ;male  ;66;10/19/1957;;94.7;76600;84 rue Michel Ange           ;LE HAVRE            ;224.307.410
Daigle      ;Adélaïde ;female;66;11/2/1957;170;69.9;21200;45 Rue du Limas              ;BEAUNE              ;387.712.232
Marceau     ;Warrane  ;;67;;;100.3;78190;;TRAPPES             ;126.987.233
Beaulieu    ;Émile    ;male  ;32;8/2/1991;184;80.4;;1 rue de l'Aigle             ;LA PLAINE-SAINT-DENI;136.233.907
Mailloux    ;Verney   ;male  ;42;10/18/1981;185;79.6;59210;78 rue Victor Hugo           ;COUDEKERQUE-BRANCHE ;391.011.478
Sirois      ;Gaetan   ;male  ;37;7/23/1986;;72.4;;79 rue Jean Vilar            ;BERGERAC            ;557.250.366
Chaussée    ;Bertrand ;male  ;44;8/22/1979;188;74.7;91130;;;161.967.522
Lajoie      ;Guillaume;male  ;77;;181;;59600;13 Quai des Belges           ;MAUBEUGE            ;302.639.203
Pitre       ;Alaine   ;female;76;7/12/1947;159;;59600;28 Quai des Belges           ;MAUBEUGE            ;321.795.365
Asselin     ;Léon     ;male  ;34;;;90.4;28000;91 place Maurice-Charretier  ;CHARTRES            ;249.303.710
Guibord     ;René     ;male  ;22;2/13/2002;174;100.9;;59 place Maurice-Charretier  ;CHAMPS-SUR-MARNE    ;139.818.709
Gamache     ;Tempeste ;female;35;2/17/1989;168;103;38100;69 avenue Ferdinand de Lessep;GRENOBLE            ;402.358.115
Grenier     ;Julienne ;female;80;;152;68.6;97300;99 rue Porte d'Orange        ;CAYENNE             ;552.900.842
Auger       ;Josephe  ;female;71;10/28/1952;163;73.5;93110;87 rue de Groussay           ;ROSNY-SOUS-BOIS     ;173.150.321
Caron       ;Hortense ;female;73;;;86.2;95190;;GOUSSAINVILLE       ;120.992.116
Patel       ;Alacoque ;female;75;7/15/1948;152;55.4;11100;;NARBONNE            ;429.946.412
Pinneau     ;Clarice  ;female;41;5/1/1983;164;94.7;98800;65 Rue Roussy                ;NOUMÉA              ;318.956.596
Giroux      ;Methena  ;;49;2/11/1975;171;57.2;97410;;;228.830.410
