Surname;GivenName;Gender;Age;Birthday;Centimeters;Kilograms;ZipCode;StreetAddress;City;TelephoneNumber;id
Beaudry     ;Nathalie  ;female;47;5/22/1976;165;96.1;84000;34 Rue Joseph Vernet         ;AVIGNON             ;468.259.155;15
Gaudreau    ;Rive      ;female;30;1/3/1994;155;75.9;27000;74 rue Charles Corbeau       ;ÉVREUX              ;210.271.235;16
Lachance    ;Mavise    ;female;66;12/30/1957;170;59.2;91190;71 rue Saint Germain         ;GIF-SUR-YVETTE      ;183.787.601;17
Mouet       ;Mandel    ;male  ;54;12/11/1969;172;94.9;69100;17 rue Marguerite            ;VILLEURBANNE        ;475.005.953;18
Beaudoin    ;Fabien    ;male  ;81;11/18/1942;171;88.4;97122;78 Rue Joseph Vernet         ;BAIE-MAHAULT        ;520.816.069;19
Jardine     ;Donatien  ;male  ;20;3/4/2004;176;97.9;95000;50 rue de Penthièvre         ;PONTOISE            ;359.071.169;20
Achin       ;Fortun    ;male  ;32;12/26/1991;186;81.2;13001;66 rue Beauvau               ;MARSEILLE           ;468.941.515;21
Bériault    ;Parnella  ;female;41;10/3/1982;164;51.7;93260;53 rue du Général Ailleret   ;LES LILAS           ;141.387.489;22
Mailhot     ;Adrienne  ;female;67;7/10/1956;159;70.7;62100;3 Chemin Du Lavarin Sud      ;CALAIS              ;388.639.338;23
Champagne   ;Robert    ;male  ;79;12/7/1944;180;84;30900;45 boulevard de Prague       ;NÎMES               ;498.216.549;24
Vachon      ;Varden    ;male  ;57;2/5/1967;178;98.2;95300;68 rue de Penthièvre         ;PONTOISE            ;343.601.844;25
Labrecque   ;Parfait   ;male  ;52;9/20/1971;173;96.7;97150;53 rue des Dunes             ;SAINT-MARTIN        ;538.956.019;26
Allard      ;Landers   ;male  ;25;3/31/1999;177;87;56000;1 avenue de Provence         ;VANNES              ;235.260.280;27
Dionne      ;Victorine ;female;60;5/4/1964;168;66.1;62100;15 Chemin Du Lavarin Sud     ;CALAIS              ;327.486.949;28
Berie       ;Clovis    ;male  ;61;3/31/1963;172;104.7;95000;11 boulevard Albin Durand    ;CERGY               ;151.276.421;29
Tachel      ;Cher      ;female;41;11/19/1982;172;86;13001;66 rue Beauvau               ;MARSEILLE           ;441.303.397;30
Guernon     ;Alexis    ;male  ;64;9/10/1959;167;73.9;57100;97 rue du Faubourg National  ;THIONVILLE          ;369.299.387;31
Tremblay    ;Ernest    ;male  ;35;9/17/1988;177;84.1;13090;8 rue Gontier-Patin          ;AIX-EN-PROVENCE     ;458.688.972;32
Jetté       ;Nicolette ;female;74;12/20/1949;162;62.2;13009;35 cours Franklin Roosevelt  ;MARSEILLE           ;434.377.792;33
Ménard      ;Inès      ;female;38;6/21/1985;158;67.2;94260;27 rue Isambard              ;FRESNES             ;124.386.729;34
Garcia      ;Manville  ;male  ;32;10/31/1991;183;81.9;83200;19 rue du Fossé des Tanneurs ;TOULON              ;487.342.241;35
Dubeau      ;Burnell   ;male  ;20;8/10/2003;186;82.2;64700;55 avenue Voltaire           ;MAISONS-ALFORT      ;540.141.625;36
Jalbert     ;André     ;male  ;58;1/7/1966;178;65.9;74100;86 Avenue De Marlioz         ;ANNEMASSE           ;447.065.864;37
Barjavel    ;Pierpont  ;male  ;31;10/9/1992;172;109.7;81000;42 Chemin des Bateliers      ;ALBI                ;525.264.089;38
Gendron     ;Anaïs     ;female;27;12/25/1996;173;99;32000;87 rue Sadi Carnot           ;AUCH                ;506.171.789;39
Turcotte    ;Léon      ;male  ;73;6/29/1950;172;95.9;78120;8 rue Lenotre                ;RAMBOUILLET         ;196.660.372;40
Lafond      ;Yvette    ;female;85;4/28/1939;159;83.7;36000;61 rue du Gue Jacquet        ;CHÂTEAUROUX         ;201.675.401;41
Grivois     ;Denise    ;female;74;8/27/1949;160;52;97122;74 Rue Joseph Vernet         ;BAIE-MAHAULT        ;563.749.785;42
Bossé       ;Agate     ;female;67;7/25/1956;166;69.3;97230;34 rue Sébastopol            ;SAINTE-MARIE        ;549.984.655;43
Franchet    ;Élodie    ;female;78;1/30/1946;158;94.1;97470;33 rue des Nations Unies     ;SAINT-BENOÎT        ;201.630.360;44
Quiron      ;Florence  ;female;61;3/16/1963;155;96.7;35000;21 rue Lenotre               ;RENNES              ;212.534.109;45
Devoe       ;Porter    ;male  ;19;5/30/2004;190;92.8;94140;37 rue de Geneve             ;ALFORTVILLE         ;150.777.158;46
Soucy       ;Dominic   ;male  ;68;7/29/1955;165;98.2;78140;94 boulevard d'Alsace        ;VÉLIZY-VILLACOUBLAY ;117.448.151;47
Lamare      ;Sébastien ;male  ;33;12/2/1990;178;84.4;93290;40 avenue Jean Portalis      ;TREMBLAY-EN-FRANCE  ;197.314.006;48
Fongemie    ;Joséphine ;female;29;9/26/1994;171;55.1;38200;15 Place du Jeu de Paume     ;VIENNE              ;443.622.794;49
Allard      ;Maurice   ;male  ;57;7/5/1966;173;101.1;93220;26 rue Saint Germain         ;GAGNY               ;111.071.627;50
René        ;Laurent   ;male  ;72;7/17/1951;171;72.2;11000;37 Rue Marie De Médicis      ;CARCASSONNE         ;428.579.176;51
Parmentier  ;Eloise    ;female;83;7/15/1940;164;83.9;88100;73 rue Pierre Motte          ;SAINT-DIÉ           ;382.213.730;52
Roussel     ;Huette    ;female;67;6/27/1956;158;74;59110;79 rue de l'Aigle            ;LA MADELEINE        ;358.248.316;53
Boucher     ;Emmeline  ;female;31;2/22/1993;157;99.5;30100;54 rue de Geneve             ;ALÈS                ;493.216.269;54
Bonnet      ;Alphonsine;female;68;10/22/1955;151;58.8;87000;20 Chemin Challet            ;LIMOGES             ;560.303.297;55
Barrette    ;Javier    ;male  ;30;11/15/1993;173;78.9;67200;17 rue Descartes             ;STRASBOURG          ;398.213.282;56
Duval       ;Diane     ;female;57;10/4/1966;164;53.5;83100;64 rue du Fossé des Tanneurs ;TOULON              ;444.072.120;57
Barteaux    ;Liane     ;female;43;6/7/1980;171;89;39000;41 Rue Hubert de Lisle       ;LONS-LE-SAUNIER     ;399.440.438;58
Boisclair   ;Angelique ;female;35;4/25/1989;162;52.8;73100;34 Chemin des Bateliers      ;AIX-LES-BAINS       ;422.061.382;59
Corbin      ;Vincent   ;male  ;21;6/3/2002;184;69.8;62300;83 rue du Général Ailleret   ;LENS                ;318.479.281;60
Barteaux    ;Chantal   ;female;64;11/14/1959;164;69.5;75009;25 Place de la Madeleine     ;PARIS               ;101.219.114;61
Bellemare   ;Charlot   ;male  ;55;4/13/1969;169;115.7;25200;51 rue Bonneterie            ;MONTBÉLIARD         ;353.329.144;62
Sevier      ;Vallis    ;male  ;56;1/23/1968;186;113.6;54300;33 rue de la République      ;LUNÉVILLE           ;367.665.282;63
Hachée      ;Aurore    ;female;56;1/23/1968;163;92.2;94170;61 rue Goya                  ;LE PERREUX-SUR-MARNE;135.522.341;64
Dumoulin    ;Ninette   ;female;64;7/27/1959;157;71.1;47300;94 place de Miremont         ;VILLENEUVE-SUR-LOT  ;559.329.432;65
Thibodeau   ;Sébastien ;male  ;20;1/14/2004;174;73;92110;4 Rue de Strasbourg          ;CLICHY              ;100.330.181;66
Cliche      ;Amedee    ;female;83;3/31/1941;162;74.1;83200;41 rue du Fossé des Tanneurs ;TOULON              ;477.157.723;67
Lalonde     ;Gilles    ;male  ;32;11/15/1991;175;72.8;45400;13 rue Charles Corbeau       ;FLEURY-LES-AUBRAIS  ;255.141.508;68
Brunault    ;Lucas     ;male  ;42;9/28/1981;175;90.9;31770;11 Place de la Gare          ;COLOMIERS           ;579.125.770;69
Drouin      ;André     ;male  ;19;12/1/2004;188;59;95800;94 boulevard Albin Durand    ;CERGY               ;161.911.589;70
D'Aubigné   ;Nicolette ;female;45;3/29/1979;154;51.2;91150;74 Rue du Palais             ;ÉTAMPES             ;124.359.225;71
Rocheleau   ;Clémence  ;female;25;2/24/1999;172;99.2;55000;16 Rue Joseph Vernet         ;BAR-LE-DUC          ;337.707.915;72
Asselin     ;Valiant   ;male  ;34;7/23/1989;179;74.5;83000;5 rue du Fossé des Tanneurs  ;TOULON              ;462.242.564;73
Aucoin      ;Michel    ;male  ;39;6/24/1984;184;64.9;64600;33 Chemin Des Bateliers      ;ANGLET              ;507.637.733;74
Sabourin    ;Mavise    ;female;31;10/18/1992;156;53.4;76120;44 boulevard Aristide Briand ;LE GRAND-QUEVILLY   ;245.726.317;75
Louineaux   ;Gradasso  ;male  ;56;3/24/1968;180;100.3;1100;47 boulevard Amiral Courbet  ;OYONNAX             ;457.717.794;76
Collin      ;Javier    ;male  ;78;5/19/1945;166;71.3;95870;77 rue Marie de Médicis      ;BEZONS              ;101.180.382;77
Charbonneau ;Geneviève ;female;21;11/17/2002;160;79.6;60100;34 boulevard Bryas           ;CREIL               ;312.476.616;78
Cressac     ;Zurie     ;female;82;8/30/1941;164;52.2;93110;76 rue de Groussay           ;ROSNY-SOUS-BOIS     ;190.798.710;79
Gaudreau    ;Brie      ;female;35;1/2/1989;170;99.3;78800;22 rue des Lacs              ;HOUILLES            ;150.775.280;80
Chartré     ;Delit     ;female;85;8/13/1938;150;84.4;13800;30 route de Lyon             ;ISTRES              ;423.733.037;81
Goudreau    ;Mallory   ;male  ;30;12/8/1993;179;78.3;6200;37 rue des Chaligny          ;NICE                ;467.982.900;82
Dufour      ;Dorene    ;female;48;7/27/1975;155;79.8;95000;22 rue de Penthièvre         ;PONTOISE            ;324.928.843;83
Dubeau      ;Théodore  ;male  ;25;4/11/1999;180;63;93270;21 avenue de Bouvines        ;SEVRAN              ;164.349.425;84
Allaire     ;Aymon     ;male  ;62;4/25/1962;167;70.7;28100;41 rue Cazade                ;DREUX               ;220.311.166;85
Lamarre     ;Marphisa  ;female;73;6/5/1950;171;74.7;53000;68 Place Napoléon            ;LAVAL               ;277.390.549;86
Labelle     ;Ferrau    ;male  ;45;8/28/1978;175;105.6;57600;61 Boulevard de Normandie    ;FORBACH             ;374.605.629;87
Truchon     ;Seymour   ;male  ;59;12/8/1964;185;68.6;34070;84 rue de la Mare aux Carats ;MONTPELLIER         ;406.105.599;88
Gadbois     ;Millicent ;female;54;11/9/1969;162;65.7;92300;50 rue du Paillle en queue   ;LEVALLOIS-PERRET    ;178.437.076;89
Chesnay     ;Halette   ;female;29;1/15/1995;165;69.1;60200;22 rue Victor Hugo           ;COMPIÈGNE           ;368.222.238;90
Desruisseaux;Catherine ;female;79;7/8/1944;152;106.9;91160;98 rue Léon Dierx            ;LONGJUMEAU          ;104.699.859;91
Bizier      ;Melusina  ;female;85;5/16/1939;161;70.7;52000;17 rue Ernest Renan          ;CHAUMONT            ;321.965.452;92
Busson      ;Charline  ;female;62;2/24/1962;168;88.9;77200;95 rue du Fossé des Tanneurs ;TORCY               ;118.612.012;93
Moreau      ;Bertrand  ;male  ;60;6/11/1963;183;105.2;75006;88 rue Nationale             ;PARIS               ;174.813.201;94
Mazuret     ;Adorlee   ;female;46;4/27/1978;159;50.4;93420;49 place de Miremont         ;VILLEPINTE          ;188.743.294;95
Provencher  ;Auguste   ;male  ;52;12/18/1971;186;96.7;59491;20 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;366.989.798;96
Mireault    ;Peppin    ;male  ;77;9/8/1946;165;61.9;92100;41 cours Jean Jaures         ;BOULOGNE-BILLANCOURT;122.889.294;97
Begin       ;Adrien    ;male  ;44;3/19/1980;170;92.8;57200;81 rue des six frères Ruellan;SARREGUEMINES       ;304.572.835;98
Joly        ;Pryor     ;male  ;54;8/10/1969;183;86.9;59400;84 Rue Marie De Médicis      ;CAMBRAI             ;332.175.547;99
Laisné      ;Henry     ;male  ;64;8/31/1959;171;70.2;38130;25 Avenue Millies Lacroix    ;ÉCHIROLLES          ;403.468.998;100
L'Anglais   ;Clovis    ;male  ;44;10/20/1979;172;79.9;93260;72 rue du Général Ailleret   ;LES LILAS           ;153.002.025;101
Jalbert     ;Bevis     ;male  ;28;11/15/1995;183;85.2;30900;26 boulevard de Prague       ;NÎMES               ;402.602.235;102
Charbonneau ;Fortun    ;male  ;80;10/7/1943;166;97.1;95200;50 rue des six frères Ruellan;SARCELLES           ;121.812.719;103
Corbin      ;Josette   ;female;58;12/15/1965;155;81.4;78190;62 avenue Jean Portalis      ;TRAPPES             ;132.116.791;104
Despins     ;Beltane   ;male  ;58;3/22/1966;184;65.3;52100;12 rue Pierre Motte          ;SAINT-DIZIER        ;396.499.429;105
Binet       ;Peppin    ;male  ;85;10/1/1938;179;96.1;59400;83 Rue Marie De Médicis      ;CAMBRAI             ;373.553.166;106
L'Anglais   ;Maureen   ;female;65;12/19/1958;164;74.3;13008;71 cours Franklin Roosevelt  ;MARSEILLE           ;407.297.140;107
Lacharité   ;Patrice   ;female;46;12/4/1977;165;84;67200;6 rue Descartes              ;STRASBOURG          ;364.720.138;108
Paiement    ;Armand    ;male  ;33;1/18/1991;190;73.9;59370;56 rue Bonneterie            ;MONS-EN-BAROEUL     ;300.496.240;109
Sevier      ;Nathalie  ;female;45;2/28/1979;158;66.1;94310;2 boulevard Amiral Courbet   ;ORLY                ;127.808.943;110
Turcotte    ;Jérôme    ;male  ;44;2/11/1980;176;110.8;92110;97 Rue de Strasbourg         ;CLICHY              ;144.019.448;111
Beauchemin  ;Pierpont  ;male  ;22;11/7/2001;172;99.1;91170;21 rue Marguerite            ;VIRY-CHÂTILLON      ;116.191.323;112
Rivard      ;Lothair   ;male  ;55;10/24/1968;183;87.9;83400;83 rue des Lacs              ;HYÈRES              ;415.336.595;113
Pomerleau   ;Franck    ;male  ;85;12/20/1938;183;68.9;59000;61 Chemin Challet            ;LILLE               ;306.971.004;114
Brian       ;Leroy     ;male  ;52;10/18/1971;168;109.4;95190;72 rue Jean-Monnet           ;GOUSSAINVILLE       ;115.916.964;115
Garnier     ;Nouel     ;male  ;77;4/4/1947;166;89.3;59240;55 rue Cazade                ;DUNKERQUE           ;315.177.900;116
Barteaux    ;Renée     ;female;75;5/25/1948;159;67.4;13600;33 rue des Soeurs            ;LA CIOTAT           ;496.006.099;117
Lacasse     ;Babette   ;female;19;12/20/2004;172;86;78130;14 rue du Paillle en queue   ;LES MUREAUX         ;136.026.710;118
Daigle      ;Delmar    ;male  ;47;3/16/1977;185;69.6;87280;66 rue Léon Dierx            ;LIMOGES             ;567.856.522;119
Bossé       ;Zerbino   ;male  ;72;1/18/1952;176;76.8;75011;37 Place de la Madeleine     ;PARIS               ;130.022.635;120
Durepos     ;Vignette  ;female;82;8/29/1941;170;52.4;75005;95 rue Nationale             ;PARIS               ;126.552.127;121
Parent      ;Claude    ;female;53;6/6/1970;164;52.6;91600;27 rue du Président Roosevelt;SAVIGNY-SUR-ORGE    ;162.961.144;122
Marois      ;Pierrette ;female;54;6/5/1969;156;99.9;21000;18 rue des lieutemants Thomaz;DIJON               ;370.319.552;123
Auberjonois ;Diane     ;female;27;2/15/1997;162;51.5;92350;39 rue Adolphe Wurtz         ;LE PLESSIS-ROBINSON ;160.017.726;124
Houde       ;Rive      ;female;47;7/23/1976;164;94.6;94320;35 rue du Faubourg National  ;THIAIS              ;179.146.659;125
Perrault    ;Algernon  ;male  ;63;12/12/1960;179;88.4;30900;3 boulevard de Prague        ;NÎMES               ;464.363.774;126
Busque      ;Marc      ;male  ;35;10/16/1988;176;101.9;83130;37 rue des Soeurs            ;LA GARDE            ;489.729.517;127
Dodier      ;Fiacre    ;male  ;28;5/25/1995;178;100.4;13006;23 cours Franklin Roosevelt  ;MARSEILLE           ;468.366.768;128
Henrichon   ;Kerman    ;male  ;74;1/24/1950;175;63.8;94130;73 boulevard de Prague       ;NOGENT-SUR-MARNE    ;169.165.879;129
Saucier     ;Audric    ;male  ;37;1/2/1987;178;97.3;83500;36 rue du Clair Bocage       ;LA SEYNE-SUR-MER    ;498.457.141;130
Bérard      ;Damiane   ;female;50;8/8/1973;169;53.6;2200;93 avenue Jules Ferry        ;SOISSONS            ;380.634.969;131
Langelier   ;Gauthier  ;male  ;39;4/14/1985;174;114.6;6500;93 rue Reine Elisabeth       ;MENTON              ;443.181.838;132
Gauvin      ;Henri     ;male  ;66;11/3/1957;165;92.2;75011;45 Place de la Madeleine     ;PARIS               ;163.361.816;133
Paquin      ;Creissant ;female;26;4/21/1998;158;78.1;78150;72 boulevard Aristide Briand ;LE CHESNAY          ;114.890.883;134
LaGarde     ;Pierpont  ;male  ;70;7/3/1953;173;105.9;20600;5 Rue du Limas               ;BASTIA              ;468.065.501;135
Faure       ;Emmeline  ;female;40;7/10/1983;162;57.3;93290;7 avenue Jean Portalis       ;TREMBLAY-EN-FRANCE  ;110.759.015;136
Deschênes   ;Yvon      ;male  ;28;4/6/1996;169;66.4;77330;29 Square de la Couronne     ;OZOIR-LA-FERRIÈRE   ;111.069.908;137
Massé       ;Ninette   ;female;77;4/12/1947;159;97;87280;38 rue Léon Dierx            ;LIMOGES             ;548.787.176;138
Berthelette ;Armand    ;male  ;52;4/21/1972;182;102.5;62100;39 Chemin Du Lavarin Sud     ;CALAIS              ;374.499.307;139
Lamontagne  ;Blondelle ;female;51;12/24/1972;172;56.1;20090;31 Chemin des Bateliers      ;AJACCIO             ;491.181.577;140
Guilmette   ;Loring    ;male  ;76;1/11/1948;177;92.9;92120;57 rue de la Mare aux Carats ;MONTROUGE           ;153.486.346;141
Chatigny    ;Cammile   ;female;22;9/16/2001;166;88.4;70000;2 Rue Frédéric Chopin        ;VESOUL              ;328.697.688;142
Garceau     ;Sennet    ;male  ;38;4/13/1986;173;69.8;13008;16 cours Franklin Roosevelt  ;MARSEILLE           ;469.068.710;143
Collin      ;Jean      ;male  ;28;10/17/1995;177;62.4;37300;2 route de Lyon              ;JOUÉ-LÈS-TOURS      ;267.134.221;144
Grimard     ;Olivie    ;female;46;6/28/1977;171;63.3;33000;81 avenue de l'Amandier      ;BORDEAUX            ;507.852.860;145
Doiron      ;Guerin    ;male  ;52;2/13/1972;166;71.1;77420;91 place Maurice-Charretier  ;CHAMPS-SUR-MARNE    ;115.889.612;146
Desrosiers  ;Langley   ;male  ;81;12/26/1942;178;94.8;92320;72 rue du Gue Jacquet        ;CHÂTILLON           ;194.272.895;147
Laberge     ;Aimée     ;female;79;5/28/1944;165;96.2;54500;28 avenue de Provence        ;VANDOEUVRE-LÈS-NANCY;347.127.854;148
Massé       ;Juliette  ;female;83;4/28/1941;154;93;67300;56 rue du Président Roosevelt;SCHILTIGHEIM        ;324.251.579;149
Galarneau   ;Philip    ;male  ;76;8/29/1947;168;99.7;76130;6 rue des Coudriers          ;MONT-SAINT-AIGNAN   ;285.102.799;150
Fortier     ;Lucas     ;male  ;40;10/13/1983;173;106.9;75006;81 rue Nationale             ;PARIS               ;175.287.626;151
Huard       ;Arridano  ;male  ;40;8/15/1983;186;107.7;13006;96 cours Franklin Roosevelt  ;MARSEILLE           ;445.933.524;152
de Brisay   ;Magnolia  ;female;53;11/21/1970;159;65.6;6520;83 avenue Voltaire           ;MAGAGNOSC           ;408.411.163;153
Duranseau   ;Natalie   ;female;32;1/18/1992;157;59.7;83400;11 rue des Lacs              ;HYÈRES              ;484.806.553;154
Martineau   ;Edmee     ;female;36;6/15/1987;170;51.6;78150;36 boulevard Aristide Briand ;LE CHESNAY          ;142.721.074;155
Sanschagrin ;Catherine ;female;62;7/17/1961;160;75.2;95220;11 rue des Lacs              ;HERBLAY             ;137.596.001;156
de Brisay   ;Warrane   ;male  ;41;1/7/1983;175;96.9;59640;36 Avenue Millies Lacroix    ;DUNKERQUE           ;393.103.055;157
Bourget     ;Noël      ;male  ;75;3/10/1949;178;80.8;50000;35 avenue du Marechal Juin   ;SAINT-LÔ            ;222.211.250;158
Avare       ;David     ;male  ;41;7/2/1982;181;108;69150;79 Cours Marechal-Joffre     ;DÉCINES-CHARPIEU    ;406.493.944;159
Sevier      ;Mignonette;female;47;10/10/1976;153;77.1;44700;21 boulevard Amiral Courbet  ;ORVAULT             ;283.578.504;160
Devost      ;Fleur     ;female;74;5/18/1949;156;85.8;33100;75 cours Jean Jaures         ;BORDEAUX            ;589.166.856;161
Leroux      ;Aubert    ;male  ;45;3/12/1979;182;73.3;75013;4 rue La Boétie              ;PARIS               ;111.253.423;162
Labrie      ;Lance     ;male  ;42;2/7/1982;187;80.7;74000;20 Chemin Des Bateliers      ;ANNECY              ;408.831.988;163
Aubin       ;Denis     ;male  ;66;5/2/1958;175;67.6;97234;68 rue Isambard              ;FORT-DE-FRANCE      ;531.551.664;164
Nadeau      ;Marshall  ;male  ;70;9/14/1953;174;77;92290;26 rue du Gue Jacquet        ;CHÂTENAY-MALABRY    ;195.991.061;165
Harquin     ;Florence  ;female;84;10/26/1939;169;82;94120;27 Boulevard de Normandie    ;FONTENAY-SOUS-BOIS  ;185.384.193;166
Pelchat     ;Emmanuel  ;male  ;71;1/6/1953;168;95.5;78280;99 Avenue des Tuileries      ;GUYANCOURT          ;163.322.349;167
Cadieux     ;Lirienne  ;female;46;5/24/1977;161;76.9;95500;21 rue Jean-Monnet           ;GONESSE             ;107.628.598;168
Paradis     ;Joseph    ;male  ;24;1/25/2000;168;73.2;94140;92 rue de Geneve             ;ALFORTVILLE         ;189.123.357;169
Neufville   ;Anne      ;female;71;7/8/1952;166;68.4;97100;75 Rue du Limas              ;BASSE-TERRE         ;515.256.330;170
Archambault ;Scoville  ;male  ;19;10/22/2004;172;94.2;75018;13 Faubourg Saint Honoré     ;PARIS               ;138.266.418;171
Deschamps   ;Christian ;male  ;65;12/27/1958;172;96.5;69300;50 Rue Marie De Médicis      ;CALUIRE-ET-CUIRE    ;472.010.639;172
Bouchard    ;Antoinette;female;71;11/8/1952;163;68.2;59140;29 rue Cazade                ;DUNKERQUE           ;368.524.918;173
Marquis     ;André     ;male  ;34;1/10/1990;190;74.4;92500;55 rue de l'Epeule           ;RUEIL-MALMAISON     ;122.219.598;174
Boivin      ;Christien ;male  ;43;8/3/1980;179;67.1;67400;19 route de Lyon             ;ILLKIRCH-GRAFFENSTAD;385.009.737;175
Parrot      ;Pomeroy   ;male  ;46;8/29/1977;174;112.3;91300;22 Quai des Belges           ;MASSY               ;144.710.691;176
Charlesbois ;Émilie    ;female;72;2/25/1952;153;67.6;44400;85 rue Gustave Eiffel        ;REZÉ                ;231.691.000;177
Couet       ;Antoinette;female;66;5/23/1957;167;89;95130;36 rue Isambard              ;FRANCONVILLE-LA-GARE;105.957.009;178
Casgrain    ;Dominique ;female;25;12/21/1998;156;97.9;97300;41 rue Porte d'Orange        ;CAYENNE             ;512.403.955;179
Grivois     ;Anastasie ;female;43;7/7/1980;169;96.7;44400;21 rue Gustave Eiffel        ;REZÉ                ;280.718.277;180
Barteaux    ;Lucas     ;male  ;47;3/26/1977;171;66.4;94300;63 rue Marguerite            ;VINCENNES           ;130.425.289;181
Rocher      ;Leverett  ;male  ;59;11/2/1964;185;79.3;69009;97 rue Banaudon              ;LYON                ;493.112.566;182
Ruel        ;Claude    ;female;42;6/4/1981;169;90.1;89100;47 avenue de Bouvines        ;SENS                ;394.128.651;183
Doucet      ;Chapin    ;male  ;80;3/23/1944;163;63.3;72000;69 rue Goya                  ;LE MANS             ;226.749.001;184
Alexandre   ;Marphisa  ;female;32;5/1/1992;157;103;95160;15 Avenue des Pr'es          ;MONTMORENCY         ;159.317.046;185
Piedalue    ;Burkett   ;male  ;77;8/21/1946;165;102.4;2000;63 Place Napoléon            ;LAON                ;396.637.618;186
D'Avis      ;Danielle  ;female;71;8/2/1952;157;97.7;13700;5 Rue de la Pompe            ;MARIGNANE           ;496.607.131;187
Carrière    ;Lyle      ;male  ;84;2/6/1940;183;100;31700;24 rue Marie de Médicis      ;BLAGNAC             ;519.792.791;188
Beaulé      ;Fiacre    ;male  ;80;7/25/1943;163;67.4;31500;53 quai Saint-Nicolas        ;TOULOUSE            ;577.514.386;189
Bernier     ;Minette   ;female;21;11/10/2002;175;56.6;44100;64 place Stanislas           ;NANTES              ;216.416.332;190
Robitaille  ;Platt     ;male  ;85;11/22/1938;174;62.4;75020;95 Faubourg Saint Honoré     ;PARIS               ;111.321.579;191
Lapierre    ;Clarice   ;female;39;10/19/1984;160;94;94270;14 rue Michel Ange           ;LE KREMLIN-BICÊTRE  ;173.477.233;192
Plante      ;Amber     ;female;36;8/25/1987;174;80.4;93120;95 rue des Soeurs            ;LA COURNEUVE        ;151.435.157;193
Hachée      ;Frédérique;female;65;9/29/1958;164;74.2;92110;65 Rue de Strasbourg         ;CLICHY              ;182.079.991;194
LaCaille    ;Philip    ;male  ;72;12/13/1951;164;102.3;97234;39 rue Isambard              ;FORT-DE-FRANCE      ;511.479.331;195
Gaillou     ;Élise     ;female;30;3/18/1994;164;49.9;49000;89 Chemin Des Bateliers      ;ANGERS              ;285.703.544;196
Laliberté   ;Jeannine  ;female;39;5/15/1985;173;99.7;30900;53 boulevard de Prague       ;NÎMES               ;485.005.733;197
Fouquet     ;Aubine    ;female;45;12/21/1978;174;102.7;62700;15 rue Grande Fusterie       ;BRUAY-LA-BUISSIÈRE  ;226.814.895;198
Lalonde     ;Vick      ;male  ;75;12/10/1948;183;66.6;34000;37 Avenue des Pr'es          ;MONTPELLIER         ;474.874.627;199
Du Trieux   ;Karlotta  ;female;48;4/24/1976;162;87.1;13800;66 route de Lyon             ;ISTRES              ;423.424.178;200
Labrecque   ;Fanette   ;female;28;10/23/1995;171;98.8;59491;26 Place Charles de Gaulle   ;VILLENEUVE-D'ASCQ   ;368.368.041;201
Meilleur    ;Joseph    ;male  ;40;12/10/1983;184;109.6;31100;90 rue Pierre De Coubertin   ;TOULOUSE            ;514.911.302;202
Pariseau    ;Auda      ;female;29;10/26/1994;166;51.4;33000;52 avenue de l'Amandier      ;BORDEAUX            ;534.757.499;203
